2021/01/01, 27408.412483039352
2021/01/10, 27645.861601085482
2021/01/20, 27679.782903663505
2021/01/28, 27985.074626865673
2021/02/07, 28188.602442333788
2021/02/14, 28290.366350067845
2021/02/21, 28527.815468113975
2021/02/26, 28900.94979647219
2021/03/08, 29036.63500678426
2021/03/18, 29240.162822252376
2021/03/27, 29545.454545454544
2021/04/06, 29579.375848032567
2021/04/13, 29782.90366350068
2021/04/17, 30122.11668928087
2021/04/23, 30461.32971506106
2021/04/30, 30800.54274084125
2021/05/07, 31139.755766621438
2021/05/12, 31411.12618724559
2021/05/17, 31784.2605156038
2021/05/24, 32123.47354138399
2021/06/01, 32462.686567164183
2021/06/07, 32767.978290366354
2021/06/14, 33005.427408412485
2021/06/23, 33175.03392130258
2021/07/02, 33344.640434192675
2021/07/18, 33446.40434192673
2021/07/26, 33616.01085481682
2021/08/05, 33785.617367706924
2021/08/15, 33853.45997286296
2021/08/25, 33887.381275440974
2021/09/01, 34023.06648575305
2021/09/07, 34192.672998643146
2021/09/16, 34294.43690637721
2021/09/22, 34497.964721845325
2021/09/29, 34667.57123473541
2021/10/07, 34837.17774762551
2021/10/14, 34938.941655359566
2021/10/19, 35244.23337856174
2021/10/25, 35413.83989145183
2021/11/01, 35617.36770691995
2021/11/07, 35956.58073270014
2021/11/12, 36227.95115332429
2021/11/16, 36465.400271370425
2021/11/25, 36533.24287652646
2021/11/30, 36668.92808683854
2021/12/08, 36804.613297150616
2021/12/14, 36974.21981004071
2021/12/20, 37245.590230664864
2021/12/26, 37483.03934871099
2021/12/29, 37720.488466757124
2021/12/31, 38059.701492537315
2022/01/05, 38331.07191316147
2022/01/07, 38670.28493894166
2022/01/11, 38941.65535956581
2022/01/13, 39314.78968792402
2022/01/16, 39654.002713704205
2022/01/17, 39993.215739484396
2022/01/20, 40264.58616010855
2022/01/21, 40671.64179104478
2022/01/26, 41010.85481682497
2022/01/31, 41383.98914518318
2022/02/03, 41723.20217096337
2022/02/05, 42130.2578018996
2022/02/08, 42537.31343283582
2022/02/10, 42978.29036635007
2022/02/12, 43453.18860244234
2022/02/14, 43860.244233378566
2022/02/15, 44233.378561736776
2022/02/17, 44674.35549525102
2022/02/19, 45115.332428765265
2022/02/20, 45454.545454545456
2022/02/23, 45827.679782903666
2022/02/26, 46268.656716417914
2022/02/28, 46641.791044776124
2022/03/04, 47014.92537313433
2022/03/07, 47354.13839891452
2022/03/10, 47659.43012211669
2022/03/15, 47388.05970149254
2022/03/20, 47184.53188602442
2022/03/24, 46879.24016282226
2022/03/27, 46641.791044776124
2022/04/05, 46641.791044776124
2022/04/09, 46438.26322930801
2022/04/13, 46132.97150610584
2022/04/18, 45895.522388059704
2022/04/22, 45556.30936227951
2022/04/26, 45217.09633649932
2022/04/28, 44911.80461329715
2022/04/30, 44606.51289009498
2022/05/04, 44301.22116689281
2022/05/07, 43928.086838534604
2022/05/10, 43622.79511533243
2022/05/14, 43249.66078697422
2022/05/17, 42910.44776119403
2022/05/22, 42605.15603799186
2022/05/26, 42232.02170963366
2022/06/02, 41926.729986431485
2022/06/08, 41723.20217096337
2022/06/12, 41383.98914518318
2022/06/16, 41010.85481682497
2022/06/19, 40705.5630936228
2022/06/26, 40637.72048846676
2022/06/30, 40332.42876526459
2022/07/06, 40061.058344640434
2022/07/10, 39789.68792401628
2022/07/18, 39552.23880597015
2022/07/21, 39213.025780189964
2022/07/23, 38941.65535956581
2022/07/26, 38670.28493894166
2022/07/29, 38432.835820895525
2022/08/06, 38398.914518317506
2022/08/13, 38297.15061058345
2022/08/15, 37957.93758480326
2022/08/20, 37788.33107191316
2022/08/27, 37618.72455902307
2022/09/03, 37483.03934871099
2022/09/09, 37279.51153324288
2022/09/11, 37008.14111261873
2022/09/19, 36906.37720488467
2022/09/26, 36770.6919945726
2022/10/02, 36567.16417910448
2022/10/09, 36431.478968792406
2022/10/13, 36160.10854816825
2022/10/15, 35820.89552238806
2022/10/21, 35515.60379918589
2022/10/27, 35278.15468113976
2022/11/02, 35074.62686567164
2022/11/13, 35176.3907734057
2022/11/21, 35074.62686567164
2022/11/29, 34972.862957937585
2022/12/08, 34972.862957937585
2022/12/16, 34972.862957937585
2022/12/22, 34837.17774762551
2022/12/31, 34667.57123473541
2023/01/06, 34362.27951153325
2023/01/12, 34056.98778833107
2023/01/22, 33717.774762550885
2023/01/30, 33785.617367706924
2023/02/08, 33819.538670284936
2023/02/15, 33853.45997286296
2023/02/22, 33582.08955223881
2023/03/01, 33412.483039348714
2023/03/11, 33344.640434192675
2023/03/22, 33344.640434192675
2023/03/27, 33616.01085481682
2023/04/04, 33853.45997286296
2023/04/10, 33989.14518317504
2023/04/17, 34124.83039348711
2023/04/22, 33921.302578019
2023/04/26, 33717.774762550885
2023/05/06, 33717.774762550885
2023/05/12, 33582.08955223881
2023/05/17, 33310.71913161466
2023/05/23, 33039.3487109905
2023/05/31, 32835.820895522396
2023/06/09, 32598.371777476255
2023/06/19, 32598.371777476255
2023/06/30, 32530.52917232022
2023/07/09, 32327.001356852106
2023/07/17, 32191.31614654003
2023/07/26, 32225.237449118045
2023/08/04, 31953.867028493896
2023/08/12, 31750.33921302578
2023/08/23, 31648.575305291724
2023/08/29, 31377.204884667575
2023/09/06, 31173.67706919946
2023/09/15, 31037.991858887384
2023/09/21, 31071.9131614654
2023/09/29, 30936.227951153327
2023/10/07, 30868.38534599729
2023/10/15, 30732.700135685212
2023/10/21, 30359.565807327006
2023/10/31, 30461.32971506106
2023/11/05, 30291.723202170968
2023/11/15, 29986.431478968796
